,company,username,esg_company,verified
330,Capital One Financial,Capital One Financial,Capital One Financial Corporation,"15000 Capital One Dr, Goochland, VA"
331,CapitaLand,capitaland,Capitaland ILEC Pte Ltd,Verified
332,Cardinal Health,cardinalhealthcare,"Cardinal Health, Inc.",Cardinal Health
333,Carhartt,carhartt,Carhartt Inc,Verified
334,Carlsberg,carlsberg,Carlsberg A/S,Verified
335,CarMax,carmax,"CarMax, Inc.",Verified
336,Carnival,carnival,Carnival Corporation & PLC,Verified
337,Carrefour,carrefourbrasil,Carrefour,Verified
338,Carrier Global,globaltapestry,Carrier Corporation,"Stretchy, Baby Carrier & Sling"
339,Caterpillar,caterpillarinc,Caterpillar Inc.,Verified
340,Cathay Financial,#cathayfinancialholdings,Cathay Financial Holding Co. Ltd.,19 posts
341,Cathay Pacific Airways,cathay.pacific.air,Cathay Pacific Airways Limited,Cathay.Pacific.Airways_rblx
342,Cattolica Assicurazioni,cattolica_assicurazioni,Cattolica Assicurazioni,Cattolica Assicurazioni
343,CBRE Group,yvrindustrial,"CB Richard Ellis Group, Inc.",CBRE Industrial Property Group
344,CDW,cdw_60,CDW Corporation,4QP 40
345,Metro,metrodetroitnews,Ceconomy AG,Metro Detroit News | MDN
346,Metro Group,themetrogroup,Ceconomy AG,Metro Group
347,Ceconomy,economyjournal,Ceconomy AG,The Economy Journal 🌍
348,Celanese,celanese757,CELANESE CORPORATION,CeCe🍭
349,Celltrion,celltrion_official,Celltrion Inc.,셀트리온
350,Cemex,cemex,Cemex Sab De CV,Verified
351,Cenovus Energy,cenovusenergy,Cenovus Energy Inc,Cenovus Energy
352,Centene Corporation,centenecorporation,Centene Corporation,Social Media
353,Centene,stlcic,Centene Corporation,Centene Community Ice Center
354,Eletrobrás,eletrobrasoficial,Centrais Eletricas Brasileira SA,Eletrobras
355,Central Bank of India,#centralbankofindia,Central Bank of India,841 posts
356,Central Japan Railway,#centraljapanrailway,Central Japan Railway Co,61 posts
357,Centrica,centrica_plc,Centrica plc,Centrica
358,Cencosud,cencosudargentina,"Centros Comerciales Sudamericanos, S.A.",Cencosud Argentina
359,Tokyo Century,over_the_century_tokyo,CENTURY LEASING SYSTEM,OVER THE CENTURY TOKYO
360,CenturyLink,centurylink,CenturyLink,Verified
361,Cerner,cernercorporation,Cerner Corporation,Cerner Corporation
362,CEZ Group,cez_group,CEZ AS,ČEZ
