company,username,esg_company,verified
Swisscom,swisscom,Swisscom,Verified
T Rowe Price,t._rowe_price,"T. Rowe Price Group, Inc.",Verified
Taco Bell,tacobell,Taco Bell,Verified
COACH,coach,"Tapestry, Inc",Verified
Target,target,Target Corporation,Verified
TATA Group,tatamotorsgroup,Tata Group,Verified
Tata Motors,tatamotorscars,Tata Motors Limited,Verified
Taylor Wimpey,taylorwimpey,Taylor Wimpey,Verified
TCL,tcl_usa,TCL Corporation,Verified
Telstra,telstra,Telstra,Verified
TELUS,telus,TELUS Corporation,Verified
Tesco,tescofood,Tesco PLC,Verified
Tesla,teslamotors,"Tesla Motors, Inc.",Verified
Texas Instruments,txinstruments,Texas Instruments Incorporated,Verified
Allstate,allstate,The Allstate Corporation,Verified
Scotiabank,scotiabank,The Bank of Nova Scotia,Verified
Boeing,boeing,The Boeing Company,Verified
Clorox,clorox,The Clorox Company,Verified
Coca-Cola,cocacolasrbija,The Coca-Cola Company,Verified
Fresh Market,thefreshmarket,"The Fresh Market, Inc.",Verified
Goodyear,goodyear,The Goodyear Tire & Rubber Company,Verified
Hershey,hersheys,The Hershey Company,Verified
Kraft Heinz Company,kraftheinzus,The Kraft Heinz Company,Verified
NASDAQ,nasdaq,"The Nasdaq Stock Market, Inc.",Verified
OFFICE DEPOT,officedepot,The ODP Corporation,Verified
Sherwin-Williams,sherwinwilliams,The Sherwin-Williams Company,Verified
Walt Disney,disney,The Walt Disney Company,Verified
Western Union,westernunion,The Western Union Company,Verified
Thermo Fisher Scientific,thermofisherscientific,Thermo Fisher Scientific,Verified
Thomson Reuters,thomsonreuters,Thomson Reuters Corporation,Verified
Tiffany & Co.,tiffanyandco,Tiffany & Co.,Verified
Tim Hortons,timhortons,Tim Hortons,Verified
Toll Brothers,tollbrothers,"Toll Brothers, Inc.",Verified
Toshiba,toshibausa,TOSHIBA CORPORATION,Verified
Lexus,lexususa,Toyota Motor Corp.,Verified
"TOYS ""R"" US",toysruscanada,Toys R Us,Verified
Tractor Supply,tractorsupply,Tractor Supply Company,Verified
TransUnion,transunion,TRANSUNION,Verified
Turkish Airlines,turkishairlines,Turkish Airlines,Verified
Halkbank,halkbank,Turkiye Halk Bankasi AS,Verified
Twitter,twitter,Twitter,Verified
Tyson Foods,tysonfoods,"Tyson Foods, Inc.",Verified
United Airlines,unitedpilotsmec,UAL Corporation,Verified
Uber,uber,Uber,Verified
UBS,ubs,UBS AG,Verified
Ulta Beauty,ultabeauty,Ulta Beauty Inc,Verified
Unilever,unilever,Unilever PLC,Verified
Union Bank of India,unionbankinsta,Union Bank of India,Verified
United Rentals,united.rentals,"United Rentals, Inc.",Verified
USAA,usaa,United Services Automobile Association,Verified
Universal,universalstandard,Universal Corporation,Verified
US Foods,us_foods,"US Foods, Inc.",Verified
Valero Energy,valeroenergy,Valero Energy Corporation,Verified
Vanguard,vanguardgroup,Vanguard,Verified
